Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
376.08,Main Camera,-6.87,117.25,86.47,-0.09,-0.05,-0.01,-0.99
376.08,R_Palm,35.58,75.44,103.06,0.05,0.10,-0.02,0.99
376.08,R_ThumbTip,30.06,73.90,108.71,-0.03,-0.19,0.53,0.83
376.08,R_IndexTip,35.57,73.02,113.81,0.12,0.11,-0.03,0.99
376.08,R_MiddleTip,37.67,73.80,114.50,0.04,0.09,-0.08,0.99
376.08,R_RingTip,39.59,74.66,113.04,0.01,0.08,-0.11,0.99
376.08,R_LittleTip,41.27,74.44,109.94,0.00,0.13,-0.17,0.98
376.08,R_ThumbDistal,30.92,74.13,106.59,-0.03,-0.19,0.53,0.83
376.08,R_IndexIntermediate,34.75,74.09,109.67,0.15,0.08,-0.02,0.99
376.08,R_MiddleIntermediate,36.83,74.49,109.73,0.11,0.08,-0.05,0.99
376.08,R_RingIntermediate,38.64,74.81,108.38,0.03,0.11,-0.10,0.99
376.08,R_LittleIntermediate,40.09,74.55,106.18,0.01,0.18,-0.17,0.97
376.08,R_IndexProximal,34.25,74.99,106.27,0.13,0.07,0.00,0.99
376.08,R_MiddleProximal,36.26,75.38,105.86,0.11,0.08,-0.03,0.99
376.08,R_ThumbProximal,31.15,74.60,103.47,0.05,-0.07,0.47,0.88
376.08,R_RingProximal,37.87,75.03,104.82,0.02,0.11,-0.07,0.99
376.08,L_LittleProximal,-3.39,61.78,93.05,-0.60,-0.44,-0.19,-0.64
376.08,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
376.09,Main Camera,-6.89,117.25,86.47,-0.09,-0.05,-0.01,-0.99
376.09,R_Palm,35.58,75.40,103.05,0.05,0.10,-0.02,0.99
376.09,R_ThumbTip,30.07,73.86,108.70,-0.03,-0.19,0.52,0.83
376.09,R_IndexTip,35.61,72.70,113.72,0.14,0.11,-0.04,0.98
376.09,R_MiddleTip,37.67,73.48,114.44,0.05,0.09,-0.08,0.99
376.09,R_RingTip,39.61,74.52,113.02,0.02,0.08,-0.11,0.99
376.09,R_LittleTip,41.28,74.33,109.92,0.00,0.13,-0.17,0.98
376.09,R_ThumbDistal,30.93,74.09,106.58,-0.03,-0.19,0.52,0.83
376.09,R_IndexIntermediate,34.77,73.93,109.62,0.16,0.08,-0.03,0.98
376.09,R_MiddleIntermediate,36.84,74.31,109.69,0.13,0.08,-0.05,0.99
376.09,R_RingIntermediate,38.65,74.72,108.36,0.03,0.11,-0.11,0.99
376.09,R_LittleIntermediate,40.10,74.47,106.16,0.01,0.18,-0.18,0.97
376.09,R_IndexProximal,34.26,74.94,106.26,0.15,0.07,0.00,0.99
376.09,R_MiddleProximal,36.27,75.32,105.85,0.12,0.08,-0.04,0.99
376.09,R_ThumbProximal,31.15,74.58,103.47,0.05,-0.07,0.47,0.88
376.09,R_RingProximal,37.88,74.97,104.81,0.03,0.11,-0.07,0.99
376.09,L_LittleProximal,-3.40,61.79,93.07,-0.60,-0.44,-0.19,-0.64
376.09,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
376.11,Main Camera,-6.91,117.25,86.48,-0.09,-0.05,-0.01,-0.99
376.11,R_Palm,35.61,75.39,103.06,0.05,0.10,-0.02,0.99
376.11,R_ThumbTip,30.09,73.85,108.72,-0.03,-0.19,0.52,0.83
376.11,R_IndexTip,35.69,72.50,113.66,0.15,0.12,-0.03,0.98
376.11,R_MiddleTip,37.72,73.31,114.41,0.06,0.09,-0.08,0.99
376.11,R_RingTip,39.65,74.49,113.01,0.02,0.09,-0.11,0.99
376.11,R_LittleTip,41.31,74.33,109.91,0.00,0.13,-0.17,0.98
376.11,R_ThumbDistal,30.96,74.08,106.60,-0.03,-0.19,0.52,0.83
376.11,R_IndexIntermediate,34.83,73.84,109.61,0.18,0.09,-0.03,0.98
376.11,R_MiddleIntermediate,36.87,74.23,109.68,0.13,0.08,-0.05,0.99
376.11,R_RingIntermediate,38.69,74.71,108.36,0.04,0.11,-0.11,0.99
376.11,R_LittleIntermediate,40.12,74.47,106.15,0.01,0.18,-0.17,0.97
376.11,R_IndexProximal,34.29,74.93,106.27,0.16,0.08,0.00,0.98
376.11,R_MiddleProximal,36.30,75.32,105.85,0.13,0.08,-0.04,0.99
376.11,R_ThumbProximal,31.18,74.56,103.48,0.05,-0.07,0.47,0.88
376.11,R_RingProximal,37.90,74.96,104.81,0.03,0.11,-0.07,0.99
376.11,L_LittleProximal,-3.41,61.80,93.07,-0.60,-0.44,-0.19,-0.64
376.11,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
376.12,Main Camera,-6.92,117.26,86.48,-0.09,-0.05,-0.01,-0.99
376.12,R_Palm,35.62,75.39,103.06,0.05,0.11,-0.02,0.99
376.12,R_ThumbTip,30.10,73.86,108.75,-0.04,-0.19,0.52,0.83
376.12,R_IndexTip,35.81,72.38,113.61,0.16,0.12,-0.04,0.98
376.12,R_MiddleTip,37.80,73.19,114.36,0.07,0.10,-0.08,0.99
376.12,R_RingTip,39.73,74.46,112.98,0.02,0.09,-0.11,0.99
376.12,R_LittleTip,41.36,74.32,109.87,0.00,0.13,-0.17,0.98
376.12,R_ThumbDistal,30.97,74.09,106.63,-0.04,-0.19,0.52,0.83
376.12,R_IndexIntermediate,34.90,73.80,109.59,0.19,0.09,-0.03,0.98
376.12,R_MiddleIntermediate,36.92,74.18,109.65,0.14,0.09,-0.05,0.99
376.12,R_RingIntermediate,38.73,74.69,108.34,0.04,0.12,-0.11,0.99
376.12,R_LittleIntermediate,40.15,74.47,106.12,0.01,0.18,-0.17,0.97
376.12,R_IndexProximal,34.32,74.92,106.28,0.16,0.08,0.00,0.98
376.12,R_MiddleProximal,36.33,75.31,105.85,0.14,0.08,-0.04,0.99
376.12,R_ThumbProximal,31.20,74.56,103.51,0.05,-0.07,0.47,0.88
376.12,R_RingProximal,37.93,74.96,104.79,0.03,0.11,-0.07,0.99
376.12,L_LittleProximal,-3.42,61.82,93.07,-0.60,-0.44,-0.19,-0.64
376.12,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
376.13,Main Camera,-6.94,117.26,86.48,-0.09,-0.05,-0.02,-0.99
376.13,R_Palm,35.64,75.42,103.06,0.05,0.11,-0.02,0.99
376.13,R_ThumbTip,30.13,73.92,108.79,-0.04,-0.19,0.52,0.83
376.13,R_IndexTip,35.94,72.39,113.60,0.16,0.13,-0.03,0.98
376.13,R_MiddleTip,37.90,73.18,114.35,0.07,0.10,-0.08,0.99
376.13,R_RingTip,39.81,74.50,112.97,0.02,0.09,-0.11,0.99
376.13,R_LittleTip,41.41,74.39,109.85,0.00,0.13,-0.17,0.98
376.13,R_ThumbDistal,31.00,74.13,106.67,-0.04,-0.19,0.52,0.83
376.13,R_IndexIntermediate,34.99,73.83,109.60,0.19,0.10,-0.03,0.98
376.13,R_MiddleIntermediate,36.99,74.20,109.65,0.14,0.09,-0.05,0.98
376.13,R_RingIntermediate,38.79,74.74,108.33,0.04,0.12,-0.11,0.99
376.13,R_LittleIntermediate,40.19,74.52,106.10,0.01,0.18,-0.17,0.97
376.13,R_IndexProximal,34.37,74.96,106.30,0.16,0.09,0.00,0.98
376.13,R_MiddleProximal,36.38,75.35,105.85,0.14,0.08,-0.04,0.99
376.13,R_ThumbProximal,31.23,74.58,103.55,0.05,-0.07,0.47,0.88
376.13,R_RingProximal,37.96,75.00,104.78,0.03,0.12,-0.07,0.99
376.13,L_LittleProximal,-3.43,61.82,93.06,-0.60,-0.44,-0.19,-0.64
376.13,Scissor,4.90,76.12,143.30,0.55,-0.42,-0.43,-0.57
376.15,Main Camera,-6.95,117.26,86.48,-0.09,-0.05,-0.02,-0.99
376.15,R_Palm,35.62,75.46,103.04,0.05,0.11,-0.02,0.99
376.15,R_ThumbTip,30.08,74.00,108.78,-0.04,-0.19,0.52,0.83
376.15,R_IndexTip,36.00,72.38,113.56,0.16,0.13,-0.04,0.98
376.15,R_MiddleTip,37.92,73.14,114.30,0.07,0.10,-0.08,0.99
376.15,R_RingTip,39.82,74.49,112.92,0.02,0.09,-0.11,0.99
376.15,R_LittleTip,41.40,74.41,109.81,0.00,0.14,-0.17,0.98
376.15,R_ThumbDistal,30.97,74.19,106.66,-0.04,-0.19,0.52,0.83
376.15,R_IndexIntermediate,35.01,73.85,109.57,0.19,0.10,-0.03,0.98
376.15,R_MiddleIntermediate,37.00,74.19,109.61,0.15,0.09,-0.05,0.98
376.15,R_RingIntermediate,38.79,74.75,108.29,0.04,0.12,-0.11,0.99
