Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
83.98,Main Camera,-5.69,118.90,87.82,-0.04,-0.01,0.00,-1.00
83.98,R_Palm,37.00,76.74,105.87,0.03,0.05,-0.02,1.00
83.98,R_ThumbTip,31.20,74.48,110.88,0.00,-0.23,0.55,0.81
83.98,R_IndexTip,36.17,75.73,116.78,0.04,0.07,-0.03,1.00
83.98,R_MiddleTip,38.28,76.04,117.56,0.01,0.06,-0.07,1.00
83.98,R_RingTip,39.92,75.94,116.23,0.03,0.03,-0.11,0.99
83.98,R_LittleTip,41.39,75.50,113.43,0.03,0.04,-0.18,0.98
83.98,R_ThumbDistal,32.11,74.95,108.82,0.00,-0.23,0.55,0.81
83.98,R_IndexIntermediate,35.63,76.15,112.47,0.07,0.05,-0.01,1.00
83.98,R_MiddleIntermediate,37.74,76.34,112.71,0.07,0.05,-0.04,1.00
83.98,R_RingIntermediate,39.50,76.23,111.50,0.05,0.06,-0.10,0.99
83.98,R_LittleIntermediate,40.95,75.80,109.52,0.05,0.09,-0.18,0.98
83.98,R_IndexProximal,35.35,76.40,108.95,0.04,0.04,0.01,1.00
83.98,R_MiddleProximal,37.39,76.79,108.73,0.05,0.04,-0.03,1.00
83.98,R_ThumbProximal,32.45,75.70,105.77,0.08,-0.11,0.50,0.86
83.98,R_RingProximal,39.10,76.41,107.88,0.02,0.06,-0.07,1.00
83.98,L_LittleProximal,3.39,64.08,93.04,-0.33,-0.52,-0.30,-0.73
83.98,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
83.99,Main Camera,-5.69,118.89,87.83,-0.04,-0.01,0.00,-1.00
83.99,R_Palm,37.02,76.68,105.95,0.03,0.05,-0.02,1.00
83.99,R_ThumbTip,31.23,74.42,110.96,0.00,-0.23,0.55,0.81
83.99,R_IndexTip,36.20,75.68,116.85,0.04,0.07,-0.03,1.00
83.99,R_MiddleTip,38.31,75.99,117.64,0.01,0.06,-0.07,1.00
83.99,R_RingTip,39.94,75.89,116.31,0.03,0.03,-0.11,0.99
83.99,R_LittleTip,41.41,75.45,113.50,0.03,0.04,-0.18,0.98
83.99,R_ThumbDistal,32.14,74.90,108.90,0.00,-0.23,0.55,0.81
83.99,R_IndexIntermediate,35.66,76.09,112.55,0.07,0.05,-0.01,1.00
83.99,R_MiddleIntermediate,37.76,76.29,112.78,0.07,0.05,-0.04,1.00
83.99,R_RingIntermediate,39.52,76.18,111.58,0.05,0.06,-0.10,0.99
83.99,R_LittleIntermediate,40.97,75.75,109.60,0.05,0.09,-0.18,0.98
83.99,R_IndexProximal,35.37,76.35,109.02,0.04,0.04,0.01,1.00
83.99,R_MiddleProximal,37.41,76.74,108.81,0.05,0.04,-0.03,1.00
83.99,R_ThumbProximal,32.47,75.64,105.85,0.08,-0.10,0.50,0.86
83.99,R_RingProximal,39.12,76.35,107.95,0.02,0.06,-0.07,1.00
83.99,L_LittleProximal,3.41,64.08,93.04,-0.33,-0.53,-0.30,-0.73
83.99,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
84.00,Main Camera,-5.69,118.88,87.85,-0.04,-0.01,0.00,-1.00
84.00,R_Palm,37.05,76.59,106.07,0.03,0.05,-0.01,1.00
84.00,R_ThumbTip,31.29,74.32,111.09,0.00,-0.23,0.55,0.81
84.00,R_IndexTip,36.26,75.60,116.97,0.04,0.08,-0.03,1.00
84.00,R_MiddleTip,38.35,75.92,117.76,0.01,0.06,-0.07,1.00
84.00,R_RingTip,39.98,75.82,116.43,0.03,0.03,-0.11,0.99
84.00,R_LittleTip,41.45,75.38,113.62,0.03,0.04,-0.18,0.98
84.00,R_ThumbDistal,32.19,74.80,109.03,0.00,-0.23,0.55,0.81
84.00,R_IndexIntermediate,35.70,76.01,112.67,0.07,0.05,-0.01,1.00
84.00,R_MiddleIntermediate,37.80,76.22,112.90,0.07,0.05,-0.04,1.00
84.00,R_RingIntermediate,39.55,76.10,111.69,0.05,0.06,-0.10,0.99
84.00,R_LittleIntermediate,41.00,75.68,109.72,0.05,0.09,-0.18,0.98
84.00,R_IndexProximal,35.41,76.26,109.15,0.04,0.04,0.01,1.00
84.00,R_MiddleProximal,37.45,76.66,108.93,0.05,0.05,-0.02,1.00
84.00,R_ThumbProximal,32.50,75.54,105.97,0.08,-0.10,0.50,0.86
84.00,R_RingProximal,39.15,76.27,108.07,0.02,0.06,-0.07,1.00
84.00,L_LittleProximal,3.43,64.08,93.03,-0.33,-0.53,-0.29,-0.73
84.00,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
84.01,Main Camera,-5.69,118.88,87.87,-0.04,-0.01,0.00,-1.00
84.01,R_Palm,37.04,76.59,106.06,0.03,0.05,-0.01,1.00
84.01,R_ThumbTip,31.30,74.30,111.09,0.00,-0.23,0.55,0.81
84.01,R_IndexTip,36.28,75.59,116.96,0.04,0.08,-0.03,1.00
84.01,R_MiddleTip,38.37,75.91,117.74,0.01,0.06,-0.07,1.00
84.01,R_RingTip,39.99,75.83,116.41,0.03,0.03,-0.11,0.99
84.01,R_LittleTip,41.45,75.39,113.61,0.03,0.04,-0.18,0.98
84.01,R_ThumbDistal,32.19,74.79,109.03,0.00,-0.23,0.55,0.81
84.01,R_IndexIntermediate,35.71,76.01,112.66,0.07,0.05,-0.01,1.00
84.01,R_MiddleIntermediate,37.81,76.21,112.89,0.07,0.05,-0.04,1.00
84.01,R_RingIntermediate,39.56,76.11,111.68,0.05,0.06,-0.10,0.99
84.01,R_LittleIntermediate,41.01,75.69,109.70,0.05,0.09,-0.18,0.98
84.01,R_IndexProximal,35.41,76.25,109.14,0.04,0.04,0.01,1.00
84.01,R_MiddleProximal,37.45,76.65,108.92,0.05,0.05,-0.02,1.00
84.01,R_ThumbProximal,32.49,75.53,105.97,0.08,-0.10,0.50,0.86
84.01,R_RingProximal,39.15,76.28,108.06,0.02,0.06,-0.07,1.00
84.01,L_LittleProximal,3.44,64.07,93.06,-0.33,-0.53,-0.29,-0.73
84.01,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
84.03,Main Camera,-5.69,118.87,87.88,-0.04,-0.01,0.00,-1.00
84.03,R_Palm,37.04,76.59,106.05,0.03,0.05,-0.01,1.00
84.03,R_ThumbTip,31.31,74.29,111.10,0.00,-0.22,0.55,0.81
84.03,R_IndexTip,36.31,75.58,116.96,0.04,0.08,-0.02,1.00
84.03,R_MiddleTip,38.39,75.91,117.73,0.01,0.06,-0.07,1.00
84.03,R_RingTip,40.01,75.83,116.40,0.03,0.03,-0.11,0.99
84.03,R_LittleTip,41.46,75.40,113.59,0.03,0.04,-0.18,0.98
84.03,R_ThumbDistal,32.20,74.78,109.03,0.00,-0.22,0.55,0.81
84.03,R_IndexIntermediate,35.72,76.00,112.66,0.07,0.05,-0.01,1.00
84.03,R_MiddleIntermediate,37.82,76.21,112.88,0.07,0.05,-0.03,1.00
84.03,R_RingIntermediate,39.57,76.11,111.67,0.05,0.06,-0.10,0.99
84.03,R_LittleIntermediate,41.01,75.70,109.68,0.05,0.09,-0.18,0.98
84.03,R_IndexProximal,35.41,76.25,109.13,0.04,0.04,0.02,1.00
84.03,R_MiddleProximal,37.45,76.65,108.91,0.05,0.05,-0.02,1.00
84.03,R_ThumbProximal,32.49,75.52,105.97,0.08,-0.10,0.50,0.86
84.03,R_RingProximal,39.15,76.28,108.05,0.02,0.06,-0.07,1.00
84.03,L_LittleProximal,3.45,64.07,93.09,-0.33,-0.53,-0.29,-0.73
84.03,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
84.04,Main Camera,-5.69,118.86,87.89,-0.04,-0.01,0.00,-1.00
84.04,R_Palm,37.06,76.57,106.03,0.03,0.05,-0.01,1.00
84.04,R_ThumbTip,31.35,74.26,111.09,0.01,-0.22,0.55,0.80
84.04,R_IndexTip,36.37,75.54,116.94,0.05,0.08,-0.02,1.00
84.04,R_MiddleTip,38.44,75.88,117.71,0.01,0.06,-0.07,1.00
84.04,R_RingTip,40.05,75.80,116.37,0.03,0.03,-0.10,0.99
84.04,R_LittleTip,41.50,75.39,113.56,0.03,0.04,-0.18,0.98
84.04,R_ThumbDistal,32.22,74.75,109.02,0.01,-0.22,0.55,0.80
