Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
77.93,Main Camera,-5.08,118.78,81.53,-0.04,-0.01,0.00,-1.00
77.93,R_Palm,36.86,76.36,105.12,0.02,0.08,-0.02,1.00
77.93,R_ThumbTip,31.45,74.91,110.65,-0.03,-0.17,0.54,0.82
77.93,R_IndexTip,36.19,75.04,116.09,0.07,0.07,-0.03,0.99
77.93,R_MiddleTip,38.45,75.84,116.78,-0.01,0.06,-0.07,1.00
77.93,R_RingTip,40.15,75.87,115.34,0.01,0.04,-0.11,0.99
77.93,R_LittleTip,41.66,75.49,112.45,0.00,0.06,-0.18,0.98
77.93,R_ThumbDistal,32.23,75.13,108.50,-0.03,-0.17,0.54,0.82
77.93,R_IndexIntermediate,35.66,75.64,111.80,0.09,0.05,-0.02,0.99
77.93,R_MiddleIntermediate,37.82,76.05,111.92,0.06,0.06,-0.04,1.00
77.93,R_RingIntermediate,39.57,75.97,110.62,0.03,0.07,-0.10,0.99
77.93,R_LittleIntermediate,40.98,75.54,108.56,0.01,0.11,-0.18,0.98
77.93,R_IndexProximal,35.39,76.08,108.29,0.06,0.04,0.01,1.00
77.93,R_MiddleProximal,37.41,76.47,107.95,0.05,0.05,-0.03,1.00
77.93,R_ThumbProximal,32.42,75.53,105.37,0.04,-0.06,0.48,0.87
77.93,R_RingProximal,39.07,76.08,107.01,0.01,0.07,-0.07,1.00
77.93,L_LittleProximal,3.18,64.72,91.92,-0.26,-0.48,-0.32,-0.78
77.93,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
77.95,Main Camera,-5.10,118.79,81.58,-0.04,-0.01,0.00,-1.00
77.95,R_Palm,36.94,76.29,104.92,0.02,0.08,-0.01,1.00
77.95,R_ThumbTip,31.57,74.80,110.48,-0.02,-0.17,0.54,0.82
77.95,R_IndexTip,36.33,74.94,115.88,0.07,0.08,-0.03,0.99
77.95,R_MiddleTip,38.58,75.75,116.56,0.00,0.07,-0.07,1.00
77.95,R_RingTip,40.29,75.79,115.12,0.01,0.05,-0.11,0.99
77.95,R_LittleTip,41.77,75.42,112.22,0.00,0.07,-0.17,0.98
77.95,R_ThumbDistal,32.34,75.03,108.32,-0.02,-0.17,0.54,0.82
77.95,R_IndexIntermediate,35.77,75.54,111.60,0.09,0.05,-0.01,0.99
77.95,R_MiddleIntermediate,37.93,75.97,111.72,0.06,0.06,-0.04,1.00
77.95,R_RingIntermediate,39.68,75.90,110.41,0.03,0.07,-0.10,0.99
77.95,R_LittleIntermediate,41.08,75.49,108.34,0.02,0.11,-0.18,0.98
77.95,R_IndexProximal,35.48,75.99,108.10,0.06,0.04,0.01,1.00
77.95,R_MiddleProximal,37.50,76.40,107.75,0.05,0.05,-0.02,1.00
77.95,R_ThumbProximal,32.51,75.43,105.19,0.04,-0.05,0.48,0.87
77.95,R_RingProximal,39.16,76.02,106.80,0.01,0.07,-0.07,1.00
77.95,L_LittleProximal,3.18,64.76,91.93,-0.26,-0.48,-0.32,-0.78
77.95,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
77.96,Main Camera,-5.11,118.80,81.63,-0.04,-0.01,0.00,-1.00
77.96,R_Palm,36.93,76.31,104.94,0.02,0.08,-0.01,1.00
77.96,R_ThumbTip,31.57,74.80,110.50,-0.03,-0.17,0.54,0.82
77.96,R_IndexTip,36.31,74.95,115.90,0.07,0.08,-0.03,0.99
77.96,R_MiddleTip,38.56,75.76,116.58,0.00,0.07,-0.07,1.00
