Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
89.95,Main Camera,-5.52,118.43,86.34,-0.07,-0.02,-0.01,-1.00
89.95,R_Palm,36.53,76.66,104.51,0.05,0.07,0.00,1.00
89.95,R_ThumbTip,30.23,74.88,109.50,-0.07,-0.26,0.52,0.81
89.95,R_IndexTip,35.70,75.22,115.44,0.05,0.07,-0.02,1.00
89.95,R_MiddleTip,37.94,75.73,116.18,0.01,0.06,-0.06,1.00
89.95,R_RingTip,39.75,75.80,114.78,0.03,0.04,-0.09,0.99
89.95,R_LittleTip,41.40,75.51,111.89,0.02,0.07,-0.16,0.98
89.95,R_ThumbDistal,31.43,75.14,107.55,-0.07,-0.26,0.52,0.81
89.95,R_IndexIntermediate,35.22,75.73,111.14,0.08,0.04,0.00,1.00
89.95,R_MiddleIntermediate,37.38,76.06,111.33,0.07,0.05,-0.02,1.00
89.95,R_RingIntermediate,39.19,76.06,110.07,0.05,0.07,-0.09,0.99
89.95,R_LittleIntermediate,40.69,75.74,108.02,0.04,0.12,-0.16,0.98
89.95,R_IndexProximal,34.99,76.16,107.63,0.06,0.03,0.02,1.00
89.95,R_MiddleProximal,37.01,76.61,107.37,0.07,0.05,-0.01,1.00
89.95,R_ThumbProximal,31.94,75.74,104.49,0.05,-0.12,0.48,0.87
89.95,R_RingProximal,38.71,76.31,106.46,0.03,0.07,-0.05,1.00
89.95,L_LittleProximal,3.42,64.15,93.18,-0.32,-0.53,-0.30,-0.72
89.95,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
89.96,Main Camera,-5.52,118.43,86.36,-0.07,-0.02,-0.01,-1.00
89.96,R_Palm,36.54,76.64,104.55,0.04,0.06,0.00,1.00
89.96,R_ThumbTip,30.23,74.89,109.52,-0.07,-0.26,0.52,0.81
89.96,R_IndexTip,35.68,75.23,115.48,0.05,0.07,-0.02,1.00
89.96,R_MiddleTip,37.92,75.74,116.22,0.01,0.06,-0.06,1.00
89.96,R_RingTip,39.73,75.81,114.83,0.03,0.04,-0.09,0.99
89.96,R_LittleTip,41.39,75.50,111.94,0.02,0.07,-0.16,0.98
89.96,R_ThumbDistal,31.43,75.14,107.57,-0.07,-0.26,0.52,0.81
89.96,R_IndexIntermediate,35.21,75.74,111.18,0.08,0.04,0.00,1.00
89.96,R_MiddleIntermediate,37.37,76.06,111.37,0.07,0.05,-0.03,1.00
89.96,R_RingIntermediate,39.18,76.06,110.11,0.04,0.07,-0.09,0.99
89.96,R_LittleIntermediate,40.69,75.72,108.06,0.04,0.12,-0.16,0.98
89.96,R_IndexProximal,34.99,76.16,107.66,0.06,0.03,0.02,1.00
89.96,R_MiddleProximal,37.02,76.61,107.41,0.07,0.04,-0.01,1.00
89.96,R_ThumbProximal,31.95,75.74,104.51,0.04,-0.12,0.48,0.87
89.96,R_RingProximal,38.71,76.29,106.50,0.03,0.07,-0.06,1.00
89.96,L_LittleProximal,3.43,64.13,93.18,-0.32,-0.53,-0.30,-0.72
89.96,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
89.97,Main Camera,-5.52,118.43,86.37,-0.07,-0.02,-0.01,-1.00
89.97,R_Palm,36.55,76.63,104.58,0.04,0.06,0.00,1.00
89.97,R_ThumbTip,30.21,74.92,109.54,-0.08,-0.26,0.52,0.81
89.97,R_IndexTip,35.65,75.24,115.51,0.05,0.06,-0.02,1.00
89.97,R_MiddleTip,37.89,75.76,116.26,0.00,0.06,-0.06,1.00
89.97,R_RingTip,39.70,75.82,114.87,0.03,0.04,-0.10,0.99
89.97,R_LittleTip,41.37,75.50,111.98,0.02,0.07,-0.16,0.98
89.97,R_ThumbDistal,31.42,75.15,107.59,-0.08,-0.26,0.52,0.81
89.97,R_IndexIntermediate,35.20,75.74,111.20,0.08,0.04,0.00,1.00
89.97,R_MiddleIntermediate,37.35,76.06,111.40,0.07,0.05,-0.03,1.00
89.97,R_RingIntermediate,39.17,76.06,110.15,0.04,0.07,-0.09,0.99
89.97,R_LittleIntermediate,40.68,75.71,108.11,0.04,0.12,-0.16,0.98
