Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
72.23,Main Camera,-5.27,117.91,84.77,-0.08,-0.03,0.00,-1.00
72.23,R_Palm,38.87,75.80,103.77,0.02,0.03,-0.01,1.00
72.23,R_ThumbTip,32.32,73.67,108.35,-0.08,-0.28,0.54,0.79
72.23,R_IndexTip,36.84,74.66,114.61,0.07,0.01,-0.03,1.00
72.23,R_MiddleTip,39.28,75.23,115.52,0.02,0.02,-0.07,1.00
72.23,R_RingTip,41.39,74.90,114.25,0.05,0.01,-0.11,0.99
72.23,R_LittleTip,43.23,73.96,111.46,0.08,0.05,-0.19,0.98
72.23,R_ThumbDistal,33.60,74.01,106.47,-0.08,-0.28,0.54,0.79
72.23,R_IndexIntermediate,36.88,75.26,110.29,0.09,-0.02,-0.01,1.00
72.23,R_MiddleIntermediate,39.14,75.58,110.64,0.07,0.01,-0.04,1.00
72.23,R_RingIntermediate,41.14,75.31,109.51,0.06,0.04,-0.10,0.99
72.23,R_LittleIntermediate,42.79,74.66,107.60,0.10,0.10,-0.18,0.97
72.23,R_IndexProximal,37.07,75.52,106.76,0.04,-0.03,0.01,1.00
72.23,R_MiddleProximal,39.12,75.91,106.64,0.04,0.00,-0.02,1.00
72.23,R_ThumbProximal,34.34,74.62,103.46,0.02,-0.15,0.50,0.85
72.23,R_RingProximal,40.86,75.51,105.88,0.03,0.04,-0.07,1.00
72.23,L_LittleProximal,3.03,64.04,91.61,0.28,0.49,0.32,0.76
72.23,SmallCube,0.00,77.14,145.00,0.00,0.00,0.00,1.00
72.24,Main Camera,-5.25,117.90,84.76,-0.08,-0.03,0.00,-1.00
72.24,R_Palm,38.64,76.08,103.67,0.02,0.03,-0.02,1.00
72.24,R_ThumbTip,32.11,73.95,108.27,-0.07,-0.28,0.54,0.79
72.24,R_IndexTip,36.66,74.89,114.51,0.07,0.01,-0.03,1.00
72.24,R_MiddleTip,39.10,75.46,115.42,0.02,0.02,-0.07,1.00
