Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
256.82,Main Camera,-5.89,117.91,87.65,-0.06,-0.03,0.01,-1.00
256.82,R_Palm,36.91,76.10,104.67,0.05,0.13,-0.01,0.99
256.82,R_ThumbTip,31.56,74.47,110.57,-0.04,-0.19,0.53,0.83
256.82,R_IndexTip,37.62,74.15,115.51,0.08,0.14,-0.02,0.99
256.82,R_MiddleTip,39.55,75.13,116.10,0.00,0.11,-0.06,0.99
256.82,R_RingTip,41.30,75.37,114.45,0.00,0.10,-0.10,0.99
256.82,R_LittleTip,42.41,75.00,111.40,0.01,0.12,-0.17,0.98
256.82,R_ThumbDistal,32.42,74.68,108.44,-0.04,-0.19,0.53,0.83
256.82,R_IndexIntermediate,36.52,74.91,111.36,0.11,0.11,-0.01,0.99
256.82,R_MiddleIntermediate,38.51,75.43,111.33,0.07,0.10,-0.03,0.99
256.82,R_RingIntermediate,40.19,75.49,109.83,0.03,0.13,-0.09,0.99
256.82,R_LittleIntermediate,41.36,75.20,107.60,0.03,0.16,-0.17,0.97
256.82,R_IndexProximal,35.79,75.58,107.96,0.10,0.10,0.02,0.99
256.82,R_MiddleProximal,37.76,76.03,107.43,0.07,0.10,-0.02,0.99
256.82,R_ThumbProximal,32.50,75.18,105.32,0.06,-0.05,0.48,0.88
256.82,R_RingProximal,39.31,75.72,106.30,0.02,0.12,-0.06,0.99
256.82,L_LittleProximal,9.19,63.25,93.59,-0.32,-0.56,-0.09,-0.76
256.82,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.83,Main Camera,-5.89,117.92,87.66,-0.06,-0.03,0.01,-1.00
256.83,R_Palm,36.91,76.09,104.66,0.05,0.13,-0.01,0.99
256.83,R_ThumbTip,31.57,74.47,110.55,-0.04,-0.19,0.53,0.83
256.83,R_IndexTip,37.64,74.15,115.49,0.08,0.14,-0.02,0.99
256.83,R_MiddleTip,39.56,75.14,116.08,0.00,0.11,-0.06,0.99
256.83,R_RingTip,41.30,75.38,114.44,0.00,0.10,-0.10,0.99
256.83,R_LittleTip,42.41,75.01,111.38,0.01,0.12,-0.17,0.98
256.83,R_ThumbDistal,32.43,74.68,108.43,-0.04,-0.19,0.53,0.83
256.83,R_IndexIntermediate,36.53,74.91,111.35,0.11,0.11,-0.01,0.99
256.83,R_MiddleIntermediate,38.51,75.43,111.31,0.07,0.10,-0.03,0.99
256.83,R_RingIntermediate,40.20,75.49,109.81,0.03,0.13,-0.09,0.99
256.83,R_LittleIntermediate,41.36,75.20,107.59,0.03,0.16,-0.17,0.97
256.83,R_IndexProximal,35.79,75.58,107.94,0.10,0.10,0.02,0.99
256.83,R_MiddleProximal,37.77,76.03,107.42,0.07,0.10,-0.02,0.99
256.83,R_ThumbProximal,32.50,75.17,105.31,0.06,-0.05,0.48,0.88
256.83,R_RingProximal,39.32,75.72,106.28,0.02,0.12,-0.06,0.99
256.83,L_LittleProximal,9.21,63.27,93.59,-0.32,-0.56,-0.10,-0.76
256.83,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.85,Main Camera,-5.88,117.92,87.67,-0.06,-0.03,0.01,-1.00
256.85,R_Palm,36.92,76.09,104.67,0.05,0.13,-0.01,0.99
256.85,R_ThumbTip,31.58,74.47,110.57,-0.04,-0.19,0.53,0.83
256.85,R_IndexTip,37.65,74.14,115.50,0.08,0.14,-0.02,0.99
256.85,R_MiddleTip,39.57,75.14,116.10,0.00,0.11,-0.06,0.99
256.85,R_RingTip,41.31,75.38,114.45,0.00,0.10,-0.09,0.99
256.85,R_LittleTip,42.41,75.01,111.40,0.01,0.11,-0.17,0.98
256.85,R_ThumbDistal,32.44,74.67,108.44,-0.04,-0.19,0.53,0.83
256.85,R_IndexIntermediate,36.54,74.91,111.36,0.11,0.11,-0.01,0.99
256.85,R_MiddleIntermediate,38.52,75.43,111.33,0.07,0.10,-0.03,0.99
256.85,R_RingIntermediate,40.20,75.49,109.83,0.03,0.13,-0.09,0.99
256.85,R_LittleIntermediate,41.36,75.20,107.60,0.03,0.16,-0.17,0.97
256.85,R_IndexProximal,35.80,75.58,107.95,0.10,0.10,0.02,0.99
256.85,R_MiddleProximal,37.77,76.02,107.43,0.07,0.10,-0.02,0.99
256.85,R_ThumbProximal,32.51,75.17,105.32,0.06,-0.05,0.48,0.88
256.85,R_RingProximal,39.32,75.72,106.30,0.02,0.12,-0.06,0.99
256.85,L_LittleProximal,9.24,63.27,93.58,-0.32,-0.55,-0.10,-0.76
256.85,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.86,Main Camera,-5.88,117.92,87.68,-0.06,-0.03,0.01,-1.00
256.86,R_Palm,36.92,76.09,104.69,0.05,0.13,-0.01,0.99
256.86,R_ThumbTip,31.60,74.46,110.58,-0.04,-0.19,0.53,0.83
256.86,R_IndexTip,37.66,74.13,115.51,0.08,0.14,-0.02,0.99
256.86,R_MiddleTip,39.57,75.13,116.11,0.00,0.11,-0.06,0.99
256.86,R_RingTip,41.31,75.38,114.47,0.00,0.10,-0.09,0.99
256.86,R_LittleTip,42.41,75.01,111.41,0.01,0.11,-0.17,0.98
256.86,R_ThumbDistal,32.45,74.67,108.46,-0.04,-0.19,0.53,0.83
256.86,R_IndexIntermediate,36.55,74.90,111.37,0.11,0.11,-0.01,0.99
256.86,R_MiddleIntermediate,38.53,75.42,111.34,0.07,0.10,-0.03,0.99
256.86,R_RingIntermediate,40.21,75.49,109.84,0.03,0.13,-0.09,0.99
256.86,R_LittleIntermediate,41.37,75.20,107.62,0.03,0.16,-0.17,0.97
256.86,R_IndexProximal,35.81,75.57,107.97,0.10,0.10,0.02,0.99
256.86,R_MiddleProximal,37.78,76.02,107.44,0.07,0.10,-0.02,0.99
256.86,R_ThumbProximal,32.52,75.16,105.34,0.06,-0.05,0.48,0.88
256.86,R_RingProximal,39.33,75.72,106.31,0.02,0.12,-0.06,0.99
256.86,L_LittleProximal,9.28,63.28,93.57,-0.31,-0.55,-0.10,-0.76
256.86,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.87,Main Camera,-5.89,117.92,87.68,-0.06,-0.03,0.01,-1.00
256.87,R_Palm,36.94,76.09,104.70,0.05,0.13,-0.01,0.99
256.87,R_ThumbTip,31.61,74.46,110.60,-0.04,-0.19,0.53,0.83
256.87,R_IndexTip,37.68,74.12,115.52,0.08,0.14,-0.02,0.99
256.87,R_MiddleTip,39.58,75.13,116.13,0.00,0.11,-0.06,0.99
256.87,R_RingTip,41.32,75.38,114.48,0.00,0.10,-0.09,0.99
256.87,R_LittleTip,42.42,75.01,111.43,0.01,0.11,-0.17,0.98
256.87,R_ThumbDistal,32.47,74.67,108.47,-0.04,-0.19,0.53,0.83
256.87,R_IndexIntermediate,36.56,74.90,111.38,0.11,0.11,-0.01,0.99
256.87,R_MiddleIntermediate,38.54,75.43,111.36,0.07,0.10,-0.03,0.99
256.87,R_RingIntermediate,40.22,75.49,109.85,0.03,0.13,-0.09,0.99
256.87,R_LittleIntermediate,41.38,75.20,107.63,0.03,0.16,-0.17,0.97
256.87,R_IndexProximal,35.82,75.57,107.98,0.10,0.10,0.02,0.99
256.87,R_MiddleProximal,37.79,76.02,107.46,0.07,0.10,-0.02,0.99
256.87,R_ThumbProximal,32.53,75.16,105.35,0.06,-0.05,0.48,0.88
256.87,R_RingProximal,39.34,75.72,106.32,0.02,0.12,-0.06,0.99
256.87,L_LittleProximal,9.25,63.28,93.59,-0.31,-0.55,-0.10,-0.77
256.87,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.89,Main Camera,-5.88,117.91,87.68,-0.06,-0.03,0.01,-1.00
256.89,R_Palm,36.94,76.10,104.70,0.05,0.13,-0.01,0.99
256.89,R_ThumbTip,31.61,74.47,110.60,-0.04,-0.19,0.53,0.83
256.89,R_IndexTip,37.68,74.12,115.52,0.08,0.14,-0.02,0.99
256.89,R_MiddleTip,39.58,75.14,116.13,0.00,0.11,-0.06,0.99
256.89,R_RingTip,41.32,75.38,114.48,0.00,0.10,-0.09,0.99
256.89,R_LittleTip,42.41,75.02,111.43,0.01,0.11,-0.17,0.98
256.89,R_ThumbDistal,32.47,74.68,108.47,-0.04,-0.19,0.53,0.83
256.89,R_IndexIntermediate,36.56,74.90,111.38,0.11,0.11,-0.01,0.99
256.89,R_MiddleIntermediate,38.53,75.43,111.36,0.07,0.10,-0.03,0.99
256.89,R_RingIntermediate,40.22,75.50,109.86,0.03,0.13,-0.09,0.99
256.89,R_LittleIntermediate,41.38,75.21,107.63,0.03,0.16,-0.17,0.97
256.89,R_IndexProximal,35.82,75.58,107.98,0.10,0.10,0.02,0.99
256.89,R_MiddleProximal,37.79,76.03,107.46,0.07,0.09,-0.02,0.99
256.89,R_ThumbProximal,32.53,75.18,105.35,0.06,-0.05,0.48,0.88
256.89,R_RingProximal,39.34,75.73,106.33,0.03,0.12,-0.06,0.99
256.89,L_LittleProximal,9.26,63.28,93.60,-0.31,-0.55,-0.11,-0.77
256.89,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.90,Main Camera,-5.88,117.92,87.69,-0.06,-0.03,0.01,-1.00
256.90,R_Palm,36.94,76.12,104.69,0.05,0.13,-0.01,0.99
256.90,R_ThumbTip,31.61,74.49,110.59,-0.04,-0.19,0.53,0.83
256.90,R_IndexTip,37.68,74.13,115.51,0.08,0.14,-0.02,0.99
256.90,R_MiddleTip,39.58,75.14,116.12,0.00,0.11,-0.06,0.99
256.90,R_RingTip,41.32,75.39,114.47,0.00,0.10,-0.09,0.99
256.90,R_LittleTip,42.41,75.03,111.43,0.01,0.11,-0.17,0.98
256.90,R_ThumbDistal,32.47,74.70,108.46,-0.04,-0.19,0.53,0.83
256.90,R_IndexIntermediate,36.57,74.91,111.37,0.11,0.11,-0.01,0.99
256.90,R_MiddleIntermediate,38.54,75.44,111.35,0.07,0.10,-0.03,0.99
256.90,R_RingIntermediate,40.22,75.51,109.85,0.03,0.13,-0.09,0.99
256.90,R_LittleIntermediate,41.38,75.23,107.62,0.03,0.16,-0.17,0.97
256.90,R_IndexProximal,35.82,75.59,107.97,0.10,0.10,0.02,0.99
256.90,R_MiddleProximal,37.79,76.04,107.45,0.07,0.09,-0.02,0.99
256.90,R_ThumbProximal,32.54,75.19,105.34,0.06,-0.05,0.48,0.88
256.90,R_RingProximal,39.34,75.74,106.32,0.03,0.12,-0.06,0.99
256.90,L_LittleProximal,9.24,63.22,93.59,-0.31,-0.55,-0.11,-0.77
256.90,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.91,Main Camera,-5.88,117.92,87.69,-0.06,-0.03,0.01,-1.00
256.91,R_Palm,36.94,76.11,104.69,0.05,0.13,-0.01,0.99
256.91,R_ThumbTip,31.62,74.47,110.58,-0.04,-0.19,0.53,0.83
256.91,R_IndexTip,37.69,74.10,115.50,0.08,0.14,-0.02,0.99
256.91,R_MiddleTip,39.58,75.12,116.11,0.00,0.11,-0.06,0.99
256.91,R_RingTip,41.32,75.37,114.47,0.00,0.10,-0.09,0.99
256.91,R_LittleTip,42.41,75.02,111.42,0.01,0.11,-0.17,0.98
256.91,R_ThumbDistal,32.47,74.69,108.45,-0.04,-0.19,0.53,0.83
256.91,R_IndexIntermediate,36.57,74.89,111.36,0.12,0.11,-0.01,0.99
256.91,R_MiddleIntermediate,38.54,75.43,111.34,0.07,0.10,-0.03,0.99
256.91,R_RingIntermediate,40.22,75.50,109.84,0.03,0.13,-0.09,0.99
256.91,R_LittleIntermediate,41.38,75.22,107.62,0.03,0.16,-0.17,0.97
256.91,R_IndexProximal,35.82,75.58,107.97,0.10,0.10,0.02,0.99
256.91,R_MiddleProximal,37.79,76.03,107.44,0.07,0.09,-0.02,0.99
256.91,R_ThumbProximal,32.54,75.19,105.33,0.07,-0.05,0.48,0.88
256.91,R_RingProximal,39.34,75.74,106.31,0.03,0.12,-0.06,0.99
256.91,L_LittleProximal,9.25,63.20,93.60,-0.31,-0.55,-0.11,-0.77
256.91,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.93,Main Camera,-5.89,117.92,87.70,-0.06,-0.03,0.01,-1.00
256.93,R_Palm,36.94,76.11,104.69,0.05,0.13,0.00,0.99
256.93,R_ThumbTip,31.62,74.45,110.58,-0.04,-0.19,0.53,0.83
256.93,R_IndexTip,37.70,74.08,115.50,0.09,0.14,-0.02,0.99
256.93,R_MiddleTip,39.58,75.11,116.11,0.00,0.11,-0.06,0.99
256.93,R_RingTip,41.32,75.37,114.47,0.00,0.10,-0.09,0.99
256.93,R_LittleTip,42.40,75.02,111.42,0.01,0.11,-0.16,0.98
256.93,R_ThumbDistal,32.48,74.67,108.46,-0.04,-0.19,0.53,0.83
256.93,R_IndexIntermediate,36.57,74.88,111.36,0.12,0.11,-0.01,0.99
256.93,R_MiddleIntermediate,38.54,75.42,111.34,0.07,0.10,-0.03,0.99
256.93,R_RingIntermediate,40.22,75.50,109.84,0.03,0.13,-0.09,0.99
256.93,R_LittleIntermediate,41.38,75.23,107.62,0.03,0.16,-0.17,0.97
256.93,R_IndexProximal,35.82,75.57,107.97,0.10,0.11,0.02,0.99
256.93,R_MiddleProximal,37.79,76.03,107.45,0.07,0.09,-0.02,0.99
256.93,R_ThumbProximal,32.54,75.18,105.34,0.07,-0.05,0.48,0.88
256.93,R_RingProximal,39.34,75.74,106.31,0.03,0.12,-0.06,0.99
256.93,L_LittleProximal,9.26,63.17,93.61,-0.31,-0.55,-0.11,-0.77
256.93,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
256.94,Main Camera,-5.90,117.92,87.71,-0.06,-0.03,0.01,-1.00
256.94,R_Palm,36.93,76.11,104.69,0.05,0.13,0.00,0.99
256.94,R_ThumbTip,31.63,74.43,110.59,-0.04,-0.19,0.53,0.83
256.94,R_IndexTip,37.71,74.06,115.49,0.09,0.14,-0.02,0.99
256.94,R_MiddleTip,39.58,75.10,116.11,0.00,0.11,-0.06,0.99
256.94,R_RingTip,41.32,75.37,114.47,0.01,0.10,-0.09,0.99
256.94,R_LittleTip,42.40,75.03,111.42,0.01,0.11,-0.16,0.98
256.94,R_ThumbDistal,32.48,74.65,108.46,-0.04,-0.19,0.53,0.83
256.94,R_IndexIntermediate,36.58,74.87,111.36,0.12,0.12,-0.01,0.99
256.94,R_MiddleIntermediate,38.54,75.42,111.34,0.07,0.10,-0.03,0.99
256.94,R_RingIntermediate,40.22,75.50,109.84,0.03,0.13,-0.09,0.99
256.94,R_LittleIntermediate,41.37,75.24,107.61,0.03,0.16,-0.16,0.97
256.94,R_IndexProximal,35.82,75.56,107.97,0.10,0.11,0.02,0.99
256.94,R_MiddleProximal,37.79,76.03,107.45,0.08,0.09,-0.02,0.99
