Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
251.29,Main Camera,-5.23,118.15,86.39,-0.05,-0.03,0.00,-1.00
251.29,R_Palm,35.93,76.34,103.36,0.04,0.05,-0.01,1.00
251.29,R_ThumbTip,29.63,75.11,108.29,-0.12,-0.25,0.52,0.81
251.29,R_IndexTip,34.66,74.31,114.13,0.11,0.05,-0.02,0.99
251.29,R_MiddleTip,37.06,74.53,114.91,0.07,0.05,-0.06,0.99
251.29,R_RingTip,38.99,74.91,113.66,0.08,0.04,-0.10,0.99
251.29,R_LittleTip,40.92,74.86,110.82,0.05,0.09,-0.17,0.98
251.29,R_ThumbDistal,30.89,75.17,106.37,-0.12,-0.25,0.52,0.81
251.29,R_IndexIntermediate,34.34,75.27,109.89,0.13,0.02,-0.01,0.99
251.29,R_MiddleIntermediate,36.59,75.46,110.12,0.13,0.04,-0.03,0.99
251.29,R_RingIntermediate,38.48,75.61,108.97,0.09,0.07,-0.10,0.99
251.29,R_LittleIntermediate,40.13,75.35,106.99,0.07,0.13,-0.17,0.97
251.29,R_IndexProximal,34.25,75.91,106.40,0.09,0.01,0.02,1.00
251.29,R_MiddleProximal,36.29,76.34,106.22,0.11,0.04,-0.02,0.99
251.29,R_ThumbProximal,31.52,75.48,103.29,0.00,-0.11,0.47,0.87
251.29,R_RingProximal,38.01,76.01,105.38,0.05,0.07,-0.06,0.99
251.29,L_LittleProximal,9.07,63.13,93.34,-0.29,-0.55,-0.14,-0.77
251.29,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
251.30,Main Camera,-5.26,118.15,86.42,-0.05,-0.03,0.00,-1.00
251.30,R_Palm,35.94,76.35,103.35,0.04,0.05,-0.01,1.00
251.30,R_ThumbTip,29.66,75.11,108.29,-0.12,-0.25,0.52,0.81
251.30,R_IndexTip,34.67,74.32,114.13,0.11,0.05,-0.02,0.99
251.30,R_MiddleTip,37.07,74.55,114.91,0.07,0.05,-0.06,0.99
251.30,R_RingTip,39.00,74.93,113.65,0.08,0.04,-0.10,0.99
251.30,R_LittleTip,40.92,74.87,110.82,0.05,0.09,-0.17,0.98
251.30,R_ThumbDistal,30.91,75.17,106.36,-0.12,-0.25,0.52,0.81
251.30,R_IndexIntermediate,34.35,75.28,109.88,0.13,0.02,-0.01,0.99
251.30,R_MiddleIntermediate,36.60,75.47,110.12,0.13,0.04,-0.03,0.99
251.30,R_RingIntermediate,38.49,75.62,108.97,0.09,0.07,-0.10,0.99
