Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
240.64,Main Camera,-4.88,117.64,87.56,-0.09,-0.03,-0.01,-1.00
240.64,R_Palm,36.43,74.97,105.55,0.03,0.14,0.02,0.99
240.64,R_ThumbTip,31.20,73.60,111.61,-0.08,-0.17,0.56,0.81
240.64,R_IndexTip,37.73,72.45,116.14,0.14,0.17,0.00,0.97
240.64,R_MiddleTip,39.78,73.54,116.72,0.04,0.14,-0.03,0.99
240.64,R_RingTip,41.19,74.12,115.19,0.04,0.12,-0.07,0.99
240.64,R_LittleTip,42.70,75.03,111.94,-0.06,0.16,-0.12,0.98
240.64,R_ThumbDistal,32.12,73.64,109.50,-0.08,-0.17,0.56,0.81
240.64,R_IndexIntermediate,36.37,73.65,112.18,0.16,0.14,0.01,0.98
240.64,R_MiddleIntermediate,38.39,74.19,112.07,0.11,0.14,-0.01,0.98
240.64,R_RingIntermediate,39.92,74.51,110.61,0.05,0.15,-0.07,0.99
240.64,R_LittleIntermediate,41.22,74.68,108.30,-0.05,0.21,-0.12,0.97
240.64,R_IndexProximal,35.42,74.48,108.87,0.12,0.13,0.04,0.98
240.64,R_MiddleProximal,37.34,75.04,108.29,0.11,0.13,0.00,0.99
240.64,R_ThumbProximal,32.17,73.87,106.35,0.03,-0.03,0.50,0.87
240.64,R_RingProximal,38.89,74.81,107.13,0.04,0.14,-0.03,0.99
240.64,L_LittleProximal,9.94,62.91,93.93,-0.41,-0.57,-0.01,-0.71
240.64,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
240.65,Main Camera,-4.90,117.64,87.56,-0.09,-0.02,-0.01,-1.00
240.65,R_Palm,36.46,74.87,105.51,0.03,0.14,0.02,0.99
240.65,R_ThumbTip,31.22,73.49,111.57,-0.08,-0.17,0.56,0.81
240.65,R_IndexTip,37.73,72.34,116.12,0.14,0.17,0.00,0.98
240.65,R_MiddleTip,39.80,73.44,116.68,0.04,0.14,-0.03,0.99
240.65,R_RingTip,41.21,74.03,115.15,0.04,0.12,-0.07,0.99
240.65,R_LittleTip,42.73,74.93,111.90,-0.06,0.16,-0.12,0.98
240.65,R_ThumbDistal,32.14,73.53,109.46,-0.08,-0.17,0.56,0.81
