Timestamp,Name,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
245.95,Main Camera,-4.61,117.38,84.14,-0.09,-0.04,0.00,-0.99
245.95,R_Palm,36.27,76.99,101.60,0.05,0.11,0.01,0.99
245.95,R_ThumbTip,30.93,74.93,107.22,-0.02,-0.20,0.55,0.81
245.95,R_IndexTip,36.27,74.26,112.29,0.15,0.10,-0.01,0.98
245.95,R_MiddleTip,38.83,75.38,112.96,0.05,0.11,-0.05,0.99
245.95,R_RingTip,40.63,75.61,111.43,0.07,0.11,-0.09,0.99
245.95,R_LittleTip,42.38,75.37,108.29,0.05,0.17,-0.16,0.97
245.95,R_ThumbDistal,31.81,75.26,105.12,-0.02,-0.20,0.55,0.81
245.95,R_IndexIntermediate,35.47,75.54,108.20,0.17,0.08,0.00,0.98
245.95,R_MiddleIntermediate,37.76,76.14,108.24,0.12,0.10,-0.02,0.99
245.95,R_RingIntermediate,39.51,76.25,106.85,0.08,0.13,-0.08,0.98
245.95,R_LittleIntermediate,40.98,75.94,104.64,0.07,0.21,-0.16,0.96
245.95,R_IndexProximal,34.98,76.47,104.81,0.13,0.07,0.03,0.99
245.95,R_MiddleProximal,36.97,76.96,104.39,0.10,0.10,-0.01,0.99
245.95,R_ThumbProximal,31.88,75.86,102.02,0.08,-0.06,0.50,0.86
245.95,R_RingProximal,38.59,76.69,103.35,0.05,0.13,-0.05,0.99
245.95,L_LittleProximal,9.00,63.07,92.95,-0.36,-0.52,-0.09,-0.77
245.95,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
245.96,Main Camera,-4.63,117.38,84.15,-0.09,-0.04,0.00,-0.99
245.96,R_Palm,36.30,76.97,101.59,0.05,0.11,0.01,0.99
245.96,R_ThumbTip,30.95,74.93,107.21,-0.02,-0.20,0.55,0.81
245.96,R_IndexTip,36.29,74.25,112.28,0.15,0.10,-0.01,0.98
245.96,R_MiddleTip,38.84,75.37,112.95,0.05,0.11,-0.05,0.99
245.96,R_RingTip,40.65,75.60,111.43,0.07,0.10,-0.09,0.99
245.96,R_LittleTip,42.40,75.36,108.28,0.05,0.17,-0.16,0.97
245.96,R_ThumbDistal,31.83,75.25,105.11,-0.02,-0.20,0.55,0.81
245.96,R_IndexIntermediate,35.49,75.53,108.19,0.17,0.08,0.00,0.98
245.96,R_MiddleIntermediate,37.78,76.13,108.24,0.12,0.10,-0.02,0.99
245.96,R_RingIntermediate,39.54,76.24,106.84,0.08,0.13,-0.08,0.98
245.96,R_LittleIntermediate,41.01,75.94,104.63,0.07,0.21,-0.16,0.96
245.96,R_IndexProximal,35.01,76.46,104.81,0.13,0.06,0.03,0.99
245.96,R_MiddleProximal,37.00,76.95,104.39,0.10,0.10,-0.01,0.99
245.96,R_ThumbProximal,31.91,75.85,102.01,0.08,-0.06,0.50,0.86
245.96,R_RingProximal,38.62,76.68,103.34,0.05,0.13,-0.05,0.99
245.96,L_LittleProximal,9.01,63.07,92.95,-0.36,-0.52,-0.09,-0.77
245.96,teddy,0.00,82.82,145.00,0.00,0.00,0.00,1.00
245.97,Main Camera,-4.65,117.38,84.16,-0.09,-0.04,-0.01,-0.99
245.97,R_Palm,36.35,76.96,101.57,0.05,0.11,0.01,0.99
245.97,R_ThumbTip,30.98,74.92,107.19,-0.03,-0.20,0.55,0.81
245.97,R_IndexTip,36.33,74.23,112.27,0.15,0.10,-0.01,0.98
245.97,R_MiddleTip,38.88,75.36,112.94,0.05,0.11,-0.05,0.99
245.97,R_RingTip,40.69,75.59,111.41,0.07,0.10,-0.09,0.99
245.97,R_LittleTip,42.45,75.35,108.27,0.05,0.17,-0.16,0.97
245.97,R_ThumbDistal,31.87,75.24,105.09,-0.03,-0.20,0.55,0.81
245.97,R_IndexIntermediate,35.54,75.51,108.18,0.17,0.07,0.00,0.98
245.97,R_MiddleIntermediate,37.82,76.12,108.22,0.12,0.10,-0.02,0.99
245.97,R_RingIntermediate,39.58,76.22,106.83,0.08,0.13,-0.08,0.98
245.97,R_LittleIntermediate,41.06,75.92,104.62,0.07,0.21,-0.16,0.96
245.97,R_IndexProximal,35.06,76.44,104.79,0.13,0.06,0.03,0.99
245.97,R_MiddleProximal,37.05,76.93,104.37,0.10,0.10,-0.01,0.99
245.97,R_ThumbProximal,31.96,75.83,101.99,0.07,-0.06,0.50,0.86
245.97,R_RingProximal,38.67,76.66,103.33,0.05,0.13,-0.05,0.99
